,company,title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers,employees
0,explara ticketing software,The Explara Ticketing Platform,Ayushi M.,Marketing & Partnerships,,1-2 years,NO,Capterra,2019-05-20,5,4.0,4.0,5.0,5.0,10.0,,"We started using Explara as a ticketing platform for our events in May 2018.

We integrated it in our website and since then have been using it daily.

As we are an events company, we needed a software that could easily help us manage our event ticketing and explara has been a good choice.

When we started events in Singapore last year, we were not sure how to go about with the ticketing.

But with the Explara team's support and guidance, we were able to manage that smoothly.","There are many good things about this software. But certain things need a little improvement.

1. The payout invoices we receive need to be more detailed. Since we are only 2 people managing all the events, it gets difficult to visit the dashboard each time to check the payout for each event.

If along with payout structure that we receive, we would get information about what event tickets we have received a payout for, it will be very helpful.

2. The formatting of the event description can be made better.",,,
1,explara ticketing software,Best DIY ticketing Software,Prakhar D.,Engineer-P&P,,6-12 months,NO,Capterra,2019-03-22,4,4.0,4.0,5.0,4.0,8.0,,The best part which we liked about them is the promptness in their customer support and willingness to improve/customise the platform as per customer's demand which really helped us to make our operations smooth,"I would say to build more on your event manager app to make on-site check-ins, goodies distribution easy which is not good at all as of now. I would also recommend Explara to start e-certificate services.",,,
2,explara ticketing software,The Review that matters,Verified Reviewer,,,,NO,,2019-03-18,5,5.0,4.0,5.0,5.0,9.0,,"User friendliness, secure payment process features and the team!",Zilch.,Go to place for all membership management needs and online event management. Great user friendly product and the payments management process is on point!,,
3,explara ticketing software,Customer Satisfaction,SENGUTTUVAN C.,Director Technical,,1-2 years,NO,Capterra,2019-03-22,5,5.0,5.0,5.0,5.0,10.0,,User friendly. Easy to customise based on your needs.,Confusion on International payments and its gateways.,FANTASTIC,,
4,explara ticketing software,Explara for a social venture (startup),Verified Reviewer,,,,NGC,,2018-11-27,4,5.0,5.0,5.0,3.0,9.0,,When I started using it in 2016 - It was a very personal experience since someone from the explara team was readily available to help with its features. I had his number saved on my phone and was easy to reach. However I do appreciate the later customer management system.,Varying service charge rates over the years. I was not in control/wasnt made aware of these changes.,Explara has been quite useful and has provided my past venture with a great accessible platform.,,
5,explara ticketing software,Explara Review,Vidya B.,Administrator,,2+ years,NO,Capterra,2019-03-14,5,5.0,5.0,5.0,4.0,10.0,,"this is very handy, well designed, customer support is very good, it is very helpful in spreading the business","I have an overall good experience, nothing really is bad about it.",Explara has been quite useful and has provided my past venture with a great accessible platform.,,
6,explara ticketing software,A very comprehensive platform,Deepika P.,Investor Relations,,1-2 years,NO,Capterra,2019-01-30,5,5.0,5.0,5.0,5.0,9.0,,Easy to use and the team provides great service,Provide a little more flexibility for the event,Creating an event management for attendees,,
7,explara ticketing software,Ease of Usage,Upasana Mahtani L.,Director - PR,,2+ years,NO,Capterra,2018-11-30,5,5.0,5.0,5.0,5.0,10.0,,Explara is an extremely easy to use and efficient portal. For someone who is very resistant to technology I find it a breeze.Also the entire team is extremely supportive and helpful with the innumerable questions I always seem to stumble upon.,Nothing as such.. I get stuck at times . But that is easily solved by their help desk,Excellent!!,,
8,explara ticketing software,Great platform with user-friendly interface,Anmol S.,Director,,1-2 years,NGC,Capterra,2018-11-29,5,5.0,5.0,5.0,5.0,10.0,,The platform's user friendly interface which is super handy to use both by organizers and ticket buyers alongwith electronic app check-in was a super hit.,The event setup procedure has some bugs related to updating of pictures and thumbnails for event website.,Organizing our monthly meetup has been a great experience with Explara's tools and ticketing platform. Now we can do all that without any hassle.,,
9,explara ticketing software,Convenient,Abhinav S.,Student,,Less than 6 months,NO,Capterra,2019-03-14,5,5.0,5.0,5.0,5.0,9.0,,Easy to understand user interface and dash board,No provision to send bulk email to others,Organizing our monthly meetup has been a great experience with Explara's tools and ticketing platform. Now we can do all that without any hassle.,,
