title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
Great service and value for money.,Joeri B.,Event Organizer,"Events Services, 1-10 employees",Used the software for: 2+ years,NO,Source: Capterra,"Jun 25, 2018",5,5,5,5,5,10.0,,Pros: More features then known giants in ticketing like Eventbrite. Better data handling and almost 50% less costs.,"Cons: There are so many options to fine-tune your ticket sales, you need to spend some time in the dashboard","Overall: More ticketsales, more insights in where my ticketsales are coming from and a save up time and money.",
Great software,Verified Reviewer,Event Organizer,"Mental Health Care, Self-employed",Source: Capterra,NO,Source: Capterra,"Jan 07, 2019",4,4,4,5,5,10.0,,Pros: It is very straightforward and has a very user-friendly layout. It is very clear where to put what and thus is very functional.,"Cons: If there is something wrong in the data you put or something else, a little balloon pops up in the right top corner of your screen, but it's not entirely clear that there is something wrong. That could be indicated better. Also, an auto-scroll option is missing when putting in data, e.g. when you press [tab] to go to the next field and you are at the bottom of the page, you can press [tab] as much as you want, but the fields remain out of sight.",,
Very Easy,Damico H.,WebEngineer,"Events Services, 51-200 employees",Used the software for: 2+ years,NO,Source: Capterra,"Mar 26, 2019",4,5,3,3,4,7.0,,Pros: It's easy for me to buy tickets. I think even my grandma wouldn't have a problem.,"Cons: I don't like the way it looks, it's too boring.",,
Eventix is great for small businesses with a budget!,Kyle H.,Senior Project Accountant,"Hospital & Health Care, 1001-5000 employees",Used the software for: 2+ years,NGC,Source: Capterra,"Apr 12, 2019",5,4,5,5,4,10.0,,"Pros: Eventix has streamlined our ticketing system for concerts at our venue. It has helped us manage inefficiencies and allowed us to avoid any conflicts we have had in the past regarding ticket shortages and pricing. They literally are the ""compete event toolbox!""","Cons: No cons - this service has helped us tremendously. With an IT background, I think there could be additional features implemented, but none have come to mind yet.","Overall: This software has helped us avoid any shortages of tickets, which we had previously.",
You know its a party,Verified Reviewer,Senior Project Accountant,"Civic & Social Organization, Self-employed",Source: Capterra,NO,Source: Capterra,"Mar 09, 2019",4,4,4,4,4,8.0,,"Pros: The lay out was really Nice, very clear",Cons: Nothing special maybe more flowing colours,Overall: Good experience,
Wine Factory review,Inge S.,Wine Teacher,"Wine and Spirits, Self-employed",Used the software for: 1-2 years,NO,Source: Capterra,"Jul 07, 2019",5,5,5,4,4,9.0,,Pros: The speed of the software and the using system. It's a very easy and quick system.,Cons: Nothing.. I enjoyed it very much. I can't imagine going to another software anymore.,Overall: They are solving a lot of my business problems. It's an easy to handle system. I'm very happy with it!,
Just great!,Dagmar V.,Student,"Education Management, 11-50 employees",Used the software for: 6-12 months,NO,Source: Capterra,"May 08, 2019",5,5,5,5,5,9.0,,"Pros: Everything about this website and software is just great!

It is very clear and there is no uncertainty.

You know exactly what to do and there are no useless steps or questions aksed.

Would recommend this software to anyone",Cons: I can't think of any cons and don't think there is anything wrong!,"Overall: My experience with Eventix has always been perfect.

Easy to use and great to work with",
Perfect service and easy to use software,Tim K.,Audit manager,"Accounting, 51-200 employees",Used the software for: 2+ years,NO,Source: Capterra,"Jul 11, 2018",5,5,5,5,3,10.0,,Pros: Facebook connection works very easy. Many payment options. Easy to use and a smooth looking interface.,Cons: I have some troubles understanding the need for such high service costs. The public opinion is that people do not understand the business model and especially costs you make to provide this service. I would advice to be more transparent to create awareness.,,
Great jon,Danny B.,Engineer,"Non-Profit Organization Management, 10,001+ employees",Used the software for: 1-2 years,NO,Source: Capterra,"Dec 05, 2018",5,5,4,4,5,8.0,,"Pros: Fast and simple, no problems at all for sure","Cons: Nothing i didnt like, maybe the boxes a little more visible",Overall: Flawless!,
Easy to use,Maria H.,Realtor,"Real Estate, Self-employed",Used the software for: 2+ years,NGC,Source: Capterra,"Apr 11, 2019",4,5,4,4,5,8.0,,Pros: Eventix is really easy to set up and use through Facebook. It's nice to be able to view tickets and events through Facebook and not have to travel to another website in order to view or purchase tickets.,Cons: Sometimes there are more steps that you have to go through to reach the tickets than seems necessary.,,
Keep up the good work,Verified Reviewer,Realtor,"Events Services, Self-employed",Source: Capterra,NO,Source: Capterra,"Oct 04, 2018",5,4,4,4,5,8.0,,Pros: The fastness of this software was really good. And the money that we need to pay for the software is not that much. So good quality for less money.,Cons: The overview of the page is a little bit off guard. Also i would like more payment options. But overall it's good. Its just something i had to recall because you asked for a dislike,Overall: Just ordering a ticket,
