company,title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
ticketsource,My experience of using Ticketsource for setting up Dulwich Players bookings,Kevin E.,,,,NO,Source: Capterra,8-Oct-14,4,4,3,3,3,6,"Comments: I have only used Ticketsource two or three times so far, but on the whole I find it a useful and relatively easy to use tool. It took me a little while to get used to it, being mainly a case of trial and error, as there are no real guidance notes; but some advice from a previous user helped considerably. With a bit of experience it is relatively easy to use, although I do have trouble moving between screens to check entries. I also have trouble swapping between data entry and viewing the public screen; it won't always let me view the public side after I have been entering information. It seems to get stuck in one mode at a time.",,,,
ticketsource,Reliable and efficient,Maxine H.,,,,NO,Source: Capterra,11-Jan-17,5,5,4,5,3,6,"Comments: We have been using Ticketsource for at our theatre for approximately 5 years now. The system works well for our customers who can book seats at a time that suits them and we do not have to be on site to take bookings. As a small venue this is very cost effective for us as we do not have to staff a 24hour box office. Our staff we find the systems straightforward and reliable. We have all the booking details at our fingertips, so we are able to answer customer queries efficiently. Archive materials are easily accessible which makes financial reconciliation straightforward and transparent.We are able to link directly to our website and can also benefit from the wider Ticketsource community on line.Ticketsource allows us to customise each event to our own needs allowing us to create tailor made seating plans, pricing structures and booking discounts and incentives. We can add information and publicity material to each performance.Customer support is very good with a number of options including FAQ's to assist with basic problems, an on line help facility and a telephone help line. The site also includes very helpful tutorials for setting up events and trouble shooting, which are brief and not at all patronising.Ticketsurce also allows us to run our own box office at strategic times and as much of our business is from schools, dance schools and local amateur companies within a small radius of the venue, it means that customers have the option not to get involved in the extra cost of booking fees.It would help us greatly as a venue if there were an option to print off whole shows with all the ticket prices on one ticket, as many amateur groups who sell within their own small community like to take possession of all the tickets to sell directly. I am aware that this does not benefit Ticketsource and would make accounting for ticket sales impossible, but many of our clients would prefer to have multiple prices on each ticket, enabling them to highlight the price paid or to cross off the other prices. I'm not sure if other venues would benefit from this service and I fully appreciate that we may be in the minority.I would certainly recommend Ticketsource to venues of all sizes as it really is a complete package. The rates are reasonable and the support is excellent",,,,
ticketsource,Outstanding,Michael H.,Theatre Coordinator,,,NO,Source: Capterra,8-Oct-14,5,5,4,5,3,6,"Comments: We have been using TicketSource as our sole provider for Box Office solutions now for just over a year. During this time, they have continued to improve what was already an excellent product! The service provided when cancelling a show or encountering a technical issue has been superb. Issues are dealt with efficiently and you are kept informed of progress at all times.",,,,
ticketsource,Amazing - Simply amazing,Paul T.,Chairman,"Entertainment, 51-200 employees",Used the software for: 2+ years,NGC,Source: Capterra,13-Nov-18,5,5,5,5,5,10,,"Pros: TicketSource system is the best Box Office system I have found, does everything we would need and more. There are so many features it is such a flexible system. Support is excellent, very responsive and quick.","Cons: Nothing really, its just a great system that does all we need.",,
ticketsource,Excellent System,Paul T.,Chairman,"Entertainment, 51-200 employees",Used the software for: 2+ years,NGC,Source: Capterra,16-Jan-19,5,5,5,5,5,10,,"Pros: Ticketsource is an excellent Box Office system, great customer support and always adding new features.","Cons: Nothing really, its a great system, does exactly what it should do without too much complication!",,
ticketsource,Hard to fault TicketSource,Paul K.,,,,NGC,Source: Capterra,11-Jan-17,5,4,5,5,5,10,Comments: I have been using TicketSource for 18 months and once you get to understand what the various options are and how to deal with the charges (fee added on in full or fixed amount etc) it is simplicity itself to use thereafter. Help is at hand if you don't understand the online instructions. Copying and then amending an existing event to create a new event makes life very easy as you do not have to enter all the regular details each time. Reporting is excellent on both customers and event ticket sales and having emails when there has been a sale is an excellent facility to keep track of progress on ticket sales.,,,,
ticketsource,Amazing!,Paul T.,Chairman,"Non-Profit Organization Management, 51-200 employees",Used the software for: 2+ years,NGC,Source: Capterra,17-Jul-19,5,5,5,5,5,10,,"Pros: This Box Office system is amazing, works perfectly, and support is first class.","Cons: Nothing really, it does everything that is required",,
ticketsource,Wonderful service,Paul K.,Events Coordinator,,,NGC,Source: Capterra,8-Oct-14,5,4,5,5,5,10,"Comments: TS is one of those rare services that delivers exactly what it says. For a small arts organisation that is always looking for cost-effective solutions, TS has proved invaluable to us. It is easy to use, provides a variety of information in formats that can be exported to our other systems and flexible enough to not only serve as an in-house box office, but also as an on-line customer service which can be managed off-site by our volunteers - everything we need.Its customer service is truly outstanding. On the rare occasions when we have had to contact them with a technical issue it is resolved quickly and efficiently. Sometimes we have asked for slight changes to made to the system and, when possible, these have always been made.The only small criticism I would make is with regard to the ticket printer which every now and again stops working. This seems to be caused by a problem with the printer cache which, because it is not on our network, has to be cleared by TS. Again, technical support resolves this quickly and has made suggestions for preventing future problems.",,,,
ticketsource,Fantastic service!,Mat R.,General Manager,,,NGC,Source: Capterra,1-Jan-15,5,5,5,5,5,10,"Comments: I don't often leave feedback when asked, but I thought I would this time.",,,,
ticketsource,Good overall but needs some work to be amazing,Joseph H.,Owner,,,NGC,Source: Capterra,9-Oct-14,4,3,5,4,5,10,"Comments: The service is great and fairly easy to use, I particularly like the options to customise the landing page with your personal banners. Customers who are issued tickets have commented how easy it is to use and The paper ticket service is faultless and great value for the purchaser.",,,,
