company,title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
oveit,All the features you need in one place!,Claudiu Petru C.,Marketing Director,"Transportation/Trucking/Railroad, 51-200 employees",Used the software for: 6-12 months,VRI,Source: Capterra,"Jan 11, 2017",5,5,5,5,5,10.0,,"Pros: - Exceeds requirements

- Outstanding performance

- Adaptability

- Cost Consciousness

- Business Ethics",,"Overall: We are very proud of our partnership with Oveit! When we say Oveit, we talk about people. People who really changes things and they do it in a positive way!",
oveit,Perfect event management platform for various types of events,Mihai M.,Campaign Manager,"Non-Profit Organization Management, 201-500 employees",Used the software for: 2+ years,VRI,Source: Capterra,"Jan 26, 2017",5,5,5,5,5,10.0,,"Pros: I love the versatility of the product. It can be applied to any sort of event: small events, medium events, or huge events. Oveit covers all the management needs that an event organizer has, as you can easily set up badges for the event, and have a complete and real-time access management. Another useful element is the embed function, which enables the event organizer to sell tickets directly from his website. This is very cost effective as a 3rd party ticket seller can be avoided. And one last thing... it's very easy to use. Big plus on that!","Cons: There are so many functions that sometimes you can mix them up, but any organizer can live with that con when you look at the many pros that Oveit has to offer.","Overall: I've used Oveit platform for the charity events organized for HOSPICE Casa Sperantei. We've sold tickets in a very smooth way and handled all the event infrastructure with just a couple of clicks. By using the embed system, we were able to sell tickets directly from the event homepage. Also, by collecting data from the people that purchased tickets, we were able to keep in contact with everyone, even after the event has ended.

For a charity that needs cost efficiency, Oveit was a perfect solution. The user experience for an organizer is great and it takes around 5 minutes to set up the event and get it going. Also, with just a couple of clicks to manage the whole event, manpower is reduced to minimum and because of Oveit, one man can do the job of many. Great job!","Recommendations to other buyers: Check out all the functions that Oveit has to offer and use them, as they will make your life easier."
oveit,"Great app, stellar customer support",Laura B.,Digital Marketing Specialist,"Internet, 11-50 employees",Used the software for: Less than 6 months,VRI,Source: Capterra,"Jan 09, 2017",5,5,5,5,5,9.0,,"Pros: The intuitive interface and simple setup, the easy access to your stats, all the features they keep adding, the stellar customer support.",Cons: The mobile app sometimes crashed during the check-in process.,"Overall: We have tried several event management systems for the conferences & workshops our NGO organizes (30 to 400 participants per event). We've used even some of the most praised apps out there. Trouble was that none of them was quite up to par with the set of features we needed (website embedding for the event registration form, customer vouchers, mobile app for check-in, payment integration and a couple more). Oveit came as an awesome surprise. Not only did they provide all the core functionality we sought for at the most reasonable price, they also went the extra mile for us more than once to help us set everything up and integrate with other services. We did find some small feature missing from their UX, but it was addressed real fast by the team. All or this with a cheerful tone in e-mails. They already have a good system, but it's clear that they are an Agile team that keeps improving. When you're looking for a top notch event management app that's great value for the money, Ctrl-D recommends Oveit!","Recommendations to other buyers: Do try it, it's a revelation!"
oveit,Absolutely the best ticketing system I've ever used. Best price and amazing customer service.,Mike C.,Founder,"Financial Services, 11-50 employees",Used the software for: 6-12 months,VR,Source: Capterra,"Nov 10, 2017",5,5,5,5,5,9.0,,Pros: It has more features than I ever dreamed of. Very easy setup. Any suggestion I sent to customer service was implemented within a day or so.,"Cons: I want to see the exact details of each order (type of ticket purchased, discount, and other details pertaining to that ticket) when I get individual email for each ticket purchases by one of my clients. Right now it requires integration with MailGun, which I don't use.","Overall: We have tried several event management systems for the conferences & workshops our NGO organizes (30 to 400 participants per event). We've used even some of the most praised apps out there. Trouble was that none of them was quite up to par with the set of features we needed (website embedding for the event registration form, customer vouchers, mobile app for check-in, payment integration and a couple more). Oveit came as an awesome surprise. Not only did they provide all the core functionality we sought for at the most reasonable price, they also went the extra mile for us more than once to help us set everything up and integrate with other services. We did find some small feature missing from their UX, but it was addressed real fast by the team. All or this with a cheerful tone in e-mails. They already have a good system, but it's clear that they are an Agile team that keeps improving. When you're looking for a top notch event management app that's great value for the money, Ctrl-D recommends Oveit!","Recommendations to other buyers: Do try it, it's a revelation!"
oveit,Excellent ease of use and support,Bogdan I.,Chairman,"E-Learning, 1-10 employees",Used the software for: 6-12 months,VR,Source: Capterra,"Nov 30, 2018",5,5,4,5,5,9.0,,"Pros: We have found Oveit to be easy to integrate, configure and use.",Cons: A few more features regarding reporting would be useful.,Overall: The overall experience was very positive and I would definitely recommend it.,"Recommendations to other buyers: Do try it, it's a revelation!"
oveit,Oveit's bespoke around the clock support made it possible!,Matt H.,,,,VR,Source: Capterra,"Jan 05, 2017",5,4,4,5,5,9.0,Comments: Without the support that Oveit's team offered the event would not have been possible. With a complex time slot management across a number of days as well as adhering to brand guidelines made it incredibly hard to find a plug and play solution.,"Pros: We have found Oveit to be easy to integrate, configure and use.",Cons: A few more features regarding reporting would be useful.,Overall: The overall experience was very positive and I would definitely recommend it.,"Recommendations to other buyers: Do try it, it's a revelation!"
oveit,Amazing software for event planners,Paula V.,Marketing Manager,"Fine Art, 51-200 employees",Used the software for: 1-2 years,VR,Source: Capterra,"Jan 11, 2017",5,5,5,5,5,10.0,Comments: Without the support that Oveit's team offered the event would not have been possible. With a complex time slot management across a number of days as well as adhering to brand guidelines made it incredibly hard to find a plug and play solution.,"Pros: You have full control on managing your event, no third party interference.",Cons: A few more features regarding reporting would be useful.,"Overall: I've used Oveit for more than a year and it never let me down. It has great features, such as making private events, 2 for 1 offers, embedding the link on your website and many more. I recommend it for anyone who needs to sell online tickets for an event.","Recommendations to other buyers: Do try it, it's a revelation!"
oveit,ove is a stable and responsive platform which can help any event organizer to save a lot of time,Lucian G.,Webmaster,"Non-Profit Organization Management, 501-1000 employees",Used the software for: Less than 6 months,VR,Source: Capterra,"May 17, 2017",5,5,4,5,5,10.0,Comments: Without the support that Oveit's team offered the event would not have been possible. With a complex time slot management across a number of days as well as adhering to brand guidelines made it incredibly hard to find a plug and play solution.,"Pros: - clean and very simple flow to create and publish and event

- real-time response of the website

- the mobile app for checkin",Cons: - maximmum number of spots per ticket-type cannot be allocated dinamically using a parameter of global-total number of participants per event,"Overall: I have saved days of work to implement on our website a reservation system for a big event and also, saved a lot of effort to make the integration with the payment gateway.","Recommendations to other buyers: Do try it, it's a revelation!"
oveit,When TEDxBucharest meets OVEit,Stefan A.,Sales Manager,"Events Services, 11-50 employees",Used the software for: 6-12 months,VR,Source: Capterra,"Jan 13, 2017",5,5,4,5,5,10.0,"Comments: We met by chance and our experience working together has been a real joy.

This platform has successfully passed our test by helping TEDxBucharest (one day event with over 900 attendees last year) reach out to people and spread ideas easier, faster and more simple.

The platform is very intuitive and user friendly, which makes the event set-up seem like a piece of cake.

Extra points for the integrated seating map, for the registration process and for the friendly technical support that OVEit team offers.

Great job guys!","Pros: - clean and very simple flow to create and publish and event

- real-time response of the website

- the mobile app for checkin",Cons: - maximmum number of spots per ticket-type cannot be allocated dinamically using a parameter of global-total number of participants per event,"Overall: I have saved days of work to implement on our website a reservation system for a big event and also, saved a lot of effort to make the integration with the payment gateway.","Recommendations to other buyers: Do try it, it's a revelation!"
oveit,"very easy to use, intuitive and fast enough to implement projects",Verified Reviewer,Sales Manager,,Source: Capterra,VR,Source: Capterra,"Nov 08, 2017",4,5,4,4,5,10.0,"Comments: We met by chance and our experience working together has been a real joy.

This platform has successfully passed our test by helping TEDxBucharest (one day event with over 900 attendees last year) reach out to people and spread ideas easier, faster and more simple.

The platform is very intuitive and user friendly, which makes the event set-up seem like a piece of cake.

Extra points for the integrated seating map, for the registration process and for the friendly technical support that OVEit team offers.

Great job guys!","Pros: ease of use

friendly interface

intuitive project setting process

some customizable, useful aspects that are not found in other event software

the fast settlement system","Cons: is not very adaptable to more complex projects

developments and software improvements sometimes take longer than expected",Overall: the speed at which you can set an event,"Recommendations to other buyers: Do try it, it's a revelation!"
